id,lat,lon,price
0,-34.5722317,-58.4314464,235000
1,-34.553906,-58.4520949,105000
3,-34.5661444,-58.4964289,110000
4,-34.5648053,-58.4431567,550000
5,-34.5664089,-58.4323004,750000
6,-34.5664089,-58.4323004,750000
7,-34.6123355,-58.3609723,1600000
8,-34.5966731,-58.4176202,132000
9,-34.5722317,-58.4314464,245000
10,-34.6169768,-58.5191032,86000
11,-34.6093598,-58.4800883,110000
12,-34.5788968,-58.4838738,99000
13,-34.5839686,-58.4756756,99000
17,-34.5853414,-58.441236,169000
18,-34.55676978,-58.45972266,171000
19,-34.5816826,-58.4226063,387066
20,-34.5724437,-58.4474094,115500
21,-34.55676978,-58.45972266,131300
22,-34.55676978,-58.45972266,139300
23,-34.55676978,-58.45972266,107000
24,-34.55676978,-58.45972266,133900
25,-34.6011593,-58.3981059,144944
26,-34.5724437,-58.4474094,148400
27,-34.5863439,-58.4400986,298000
28,-34.5805175,-58.4118226,398000
29,-34.5816826,-58.4226063,130000
30,-34.5816826,-58.4226063,120000
31,-34.5724437,-58.4474094,83700
32,-34.55676978,-58.45972266,123700
33,-34.5724437,-58.4474094,148400
34,-34.55676978,-58.45972266,174500
35,-34.5664089,-58.4323004,750000
36,-34.6011593,-58.3981059,133840
37,-34.6242988,-58.5279471,135000
38,-34.6285457,-58.4124902,75000
39,-34.5956696,-58.4430514,135000
40,-34.6046161,-58.4090473,205000
41,-34.5993009,-58.3891914,95000
42,-34.5998506,-58.3763743,96000
43,-34.60169864,-58.38852356,140661
44,-34.57971286,-58.42949663,135000
45,-34.5818194,-58.4413737,150000
46,-34.5877487,-58.4399297,105000
47,-34.640483,-58.5209275,90000
48,-34.5727448,-58.4396447,94000
49,-34.5742152,-58.439068,115000
50,-34.6047988,-58.3993355,54000
51,-34.5983,-58.3917936,43000
52,-34.640483,-58.5209275,90000
53,-34.6079583,-58.3750596,100000
54,-34.5711396,-58.4306897,130000
55,-34.5754549,-58.423639,220000
56,-34.5799971,-58.4299508,180000
57,-34.64067679,-58.37852122,220000
58,-34.5555753,-58.4388026,207900
60,-34.5605292,-58.4483653,325000
61,-34.5555753,-58.4388026,186000
62,-34.5802653,-58.4832317,123000
63,-34.5802653,-58.4832317,89000
64,-34.5870854,-58.4390932,398000
65,-34.5808436,-58.4163706,330000
66,-34.5841349,-58.414632,330000
67,-34.576273,-58.4051819,2750000
68,-34.5936314,-58.4359692,310184
69,-34.5889412,-58.4002496,830000
70,-34.5528504,-58.4401014,1111111
71,-34.6077784,-58.3897693,265000
72,-34.5594509,-58.4469888,335000
73,-34.5902905,-58.4401432,230000
74,-34.5724437,-58.4474094,320000
75,-34.5894316,-58.3990744,448000
77,-34.59434954,-58.43896704,87000
78,-34.59686498,-58.44054574,89000
80,-34.58997609,-58.4475112,65000
81,-34.6242988,-58.5279471,135000
82,-34.62107451,-58.36158403,220000
83,-34.6180007,-58.3655503,315000
84,-34.6180007,-58.3655503,314999
85,-34.5807667,-58.4957238,108000
86,-34.6180007,-58.3655503,315000
87,-34.6180007,-58.3655503,354999
88,-34.5807667,-58.4957238,125000
89,-34.5807667,-58.4957238,125000
90,-34.59814459,-58.41653417,116000
91,-34.5807667,-58.4957238,107000
92,-34.6344378,-58.4602384,149000
93,-34.5479578,-58.4665217,204510
94,-34.59814459,-58.41653417,116000
95,-34.6180007,-58.3655503,355000
96,-34.61018703,-58.42354315,123000
97,-34.608248,-58.421008,153000
98,-34.59814459,-58.41653417,94000
99,-34.59613493,-58.44391918,105000
100,-34.6110043,-58.3612753,525000
101,-34.6275195,-58.406719,138250
102,-34.6037853,-58.4342633,340000
103,-34.61464583,-58.40645995,270000
